@relation 'Metro_Interstate_Traffic_Volume_final-weka.filters.unsupervised.attribute.Remove-R6,8-11-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute holiday {'New Years Day',None,'Martin Luther King Jr Day','Washingtons Birthday','Memorial Day','Independence Day','State Fair','Labor Day'}
@attribute temp numeric
@attribute rain_1h numeric
@attribute snow_1h numeric
@attribute clouds_all numeric
@attribute weather_description {'sky is clear',mist,'broken clouds','overcast clouds','light snow',haze,'scattered clouds','few clouds','light intensity drizzle',fog,snow,'heavy snow','proximity thunderstorm','shower drizzle','light rain',drizzle,'moderate rain','thunderstorm with light drizzle','proximity shower rain','light shower snow',thunderstorm,sleet,'Sky is Clear','thunderstorm with light rain','proximity thunderstorm with rain','thunderstorm with heavy rain','heavy intensity rain','thunderstorm with rain','heavy intensity drizzle',smoke,'light intensity shower rain','proximity thunderstorm with drizzle'}
@attribute hour numeric
@attribute traffic_volume numeric

@data
'New Years Day',0.036196,0,0,0.01087,'sky is clear',0,1478
None,0.031751,0,0,0.01087,'sky is clear',0.043478,1408
None,0.028258,0,0,0.01087,'sky is clear',0.086957,931
None,0.026036,0,0,0.01087,'sky is clear',0.130435,585
None,0.021432,0,0,0.01087,'sky is clear',0.173913,381
None,0.015717,0,0,0.01087,'sky is clear',0.217391,434
None,0.016987,0,0,0.01087,'sky is clear',0.26087,686
None,0.010795,0,0,0.01087,'sky is clear',0.304348,677
None,0.005874,0,0,0.054348,'sky is clear',0.347826,811
None,0.005556,0,0,0.01087,'sky is clear',0.391304,1122
None,0.029052,0,0,0.01087,'sky is clear',0.434783,1738
None,0.056676,0,0,0.01087,'sky is clear',0.478261,2421
None,0.077949,0,0,0.01087,'sky is clear',0.521739,2908
None,0.098587,0,0,0.01087,'sky is clear',0.565217,2985
None,0.1224,0,0,0.054348,'sky is clear',0.608696,3214
None,0.133037,0,0,0.01087,'sky is clear',0.652174,3410
None,0.138276,0,0,0.054348,'sky is clear',0.695652,3290
None,0.128116,0,0,0.01087,'sky is clear',0.73913,3079
None,0.107636,0,0,0.054348,'sky is clear',0.782609,2891
None,0.098905,0,0,0.01087,'sky is clear',0.826087,2199
None,0.084934,0,0,0.054348,'sky is clear',0.869565,1738
None,0.073662,0,0,0.01087,'sky is clear',0.913043,1555
None,0.070646,0,0,0.01087,'sky is clear',0.956522,1213
None,0.062232,0,0,0.01087,'sky is clear',1,830
None,0.064455,0,0,0.01087,'sky is clear',0,477
None,0.063343,0,0,0.01087,mist,0.043478,279
None,0.06001,0,0,0.01087,'sky is clear',0.086957,205
None,0.06001,0,0,0.01087,'sky is clear',0.130435,299
None,0.057787,0,0,0.01087,'sky is clear',0.173913,729
None,0.053183,0,0,0.01087,'sky is clear',0.217391,2544
None,0.052389,0,0,0.01087,'sky is clear',0.26087,4801
None,0.045245,0,0,0.054348,'sky is clear',0.304348,5696
None,0.046515,0,0,0.01087,'sky is clear',0.347826,4901
None,0.051119,0,0,0.01087,'sky is clear',0.391304,4189
None,0.086045,0,0,0.01087,'sky is clear',0.434783,4065
None,0.132561,0,0,0.815217,'broken clouds',0.478261,4172
None,0.171138,0,0,0.815217,'broken clouds',0.521739,4448
None,0.215272,0,0,0.978261,'overcast clouds',0.565217,4537
None,0.232418,0,0,0.978261,'overcast clouds',0.608696,4698
None,0.239244,0,0,0.01087,'sky is clear',0.652174,5232
None,0.241467,0,0,0.978261,'light snow',0.695652,5618
None,0.241467,0,0,0.978261,mist,0.695652,5618
None,0.242737,0,0,0.978261,'light snow',0.73913,5178
None,0.242737,0,0,0.978261,mist,0.73913,5178
None,0.244007,0,0,0.978261,'light snow',0.782609,3625
None,0.244007,0,0,0.978261,haze,0.782609,3625
None,0.25385,0,0,0.978261,'light snow',0.826087,2669
None,0.25385,0,0,0.978261,mist,0.826087,2669
None,0.257342,0,0,0.978261,'light snow',0.869565,2056
None,0.261153,0,0,0.978261,'light snow',0.913043,2834
None,0.251786,0,0,0.978261,'light snow',0.956522,2785
None,0.244483,0,0,0.978261,'light snow',1,1118
None,0.233529,0,0,0.978261,'light snow',0,599
None,0.218765,0,0,0.978261,haze,0.043478,353
None,0.218765,0,0,0.978261,'light snow',0.043478,353
None,0.206064,0,0,0.978261,haze,0.086957,283
None,0.184791,0,0,0.434783,'scattered clouds',0.130435,358
None,0.175742,0,0,0.01087,'sky is clear',0.173913,811
None,0.157485,0,0,0.01087,'sky is clear',0.217391,2739
None,0.150818,0,0,0.01087,'sky is clear',0.26087,5225
None,0.140498,0,0,0.434783,'scattered clouds',0.304348,6017
None,0.132561,0,0,0.054348,'sky is clear',0.347826,5398
None,0.129386,0,0,0.01087,'sky is clear',0.391304,5142
None,0.14288,0,0,0.054348,'sky is clear',0.434783,4092
None,0.145261,0,0,0.434783,'scattered clouds',0.478261,4328
None,0.162089,0,0,0.434783,'scattered clouds',0.521739,4600
None,0.17225,0,0,0.434783,'scattered clouds',0.565217,4591
None,0.179394,0,0,0.217391,'few clouds',0.608696,4983
None,0.180664,0,0,0.054348,'sky is clear',0.652174,5589
None,0.180664,0,0,0.054348,'sky is clear',0.695652,6317
None,0.164471,0,0,0.054348,'sky is clear',0.73913,5951
None,0.145102,0,0,0.054348,'sky is clear',0.782609,4350
None,0.137165,0,0,0.054348,'sky is clear',0.826087,3144
None,0.122877,0,0,0.054348,'sky is clear',0.869565,2319
None,0.113351,0,0,0.054348,'sky is clear',0.913043,2105
None,0.103826,0,0,0.01087,'sky is clear',0.956522,1517
None,0.10208,0,0,0.01087,'sky is clear',1,991
None,0.091126,0,0,0.01087,'sky is clear',0,529
None,0.097476,0,0,0.978261,'overcast clouds',0.043478,343
None,0.107636,0,0,0.978261,'overcast clouds',0.086957,247
None,0.107636,0,0,0.434783,'scattered clouds',0.130435,325
None,0.097476,0,0,0.434783,'scattered clouds',0.173913,827
None,0.089538,0,0,0.01087,'sky is clear',0.217391,2757
None,0.08033,0,0,0.01087,'sky is clear',0.26087,5323
None,0.089538,0,0,0.434783,'scattered clouds',0.304348,6420
None,0.08033,0,0,0.978261,'overcast clouds',0.347826,4478
None,0.100016,0,0,0.978261,'overcast clouds',0.391304,4885
None,0.107477,0,0,0.815217,'broken clouds',0.434783,4259
None,0.114463,0,0,0.978261,'overcast clouds',0.478261,4446
None,0.128116,0,0,0.434783,'scattered clouds',0.521739,4738
None,0.141769,0,0,0.434783,'scattered clouds',0.565217,4656
None,0.151294,0,0,0.434783,'scattered clouds',0.608696,5094
None,0.156692,0,0,0.434783,'scattered clouds',0.652174,5442
None,0.16193,0,0,0.434783,'scattered clouds',0.695652,6450
None,0.152405,0,0,0.434783,'scattered clouds',0.73913,5993
None,0.138593,0,0,0.434783,'scattered clouds',0.782609,4377
None,0.132561,0,0,0.217391,'few clouds',0.826087,3071
None,0.110017,0,0,0.054348,'sky is clear',0.869565,2646
None,0.097317,0,0,0.054348,'sky is clear',0.913043,3933
None,0.081441,0,0,0.01087,'sky is clear',0.956522,2422
None,0.067789,0,0,0.01087,'sky is clear',1,1185
None,0.058263,0,0,0.01087,'sky is clear',0,630
None,0.044452,0,0,0.01087,'sky is clear',0.043478,379
None,0.047627,0,0,0.01087,'sky is clear',0.086957,301
None,0.043023,0,0,0.01087,'sky is clear',0.130435,335
